Date,Open,High,Low,Close,Volume,Adj Close,Date,ret
2006-02-07,126.38,126.66,125.4,125.48,71208100,106.93,2006-02-07,0.9911939192
2006-02-08,125.85,128.1,125.6,126.62,59422200,107.9,2006-02-08,1.0090713551
2006-02-09,126.92,127.6,126.37,126.41,62023300,107.72,2006-02-09,0.9983317887
2006-02-10,126.43,127.13,125.45,126.64,64508700,107.92,2006-02-10,1.0018566654
2006-02-13,126.6,126.79,125.95,126.41,52308700,107.72,2006-02-13,0.9981467754
2006-02-14,126.46,128.03,126.21,127.75,90964400,108.86,2006-02-14,1.0105829929
2006-02-15,127.68,128.32,127.24,128.2,85471300,109.25,2006-02-15,1.0035825831
2006-02-16,128.34,129.21,128.18,129.16,61017900,110.06,2006-02-16,1.0074141876
2006-02-17,129.05,129.16,128.58,128.81,40342600,109.77,2006-02-17,0.9973650736
2006-02-21,129.11,129.4,128.29,128.49,46456300,109.49,2006-02-21,0.997449212
2006-02-22,128.77,129.65,128.65,129.27,42326700,110.16,2006-02-22,1.0061192803
2006-02-23,129.27,129.64,128.28,129.08,43423200,110,2006-02-23,0.9985475672
2006-02-24,129.11,129.48,128.76,129.41,36777400,110.28,2006-02-24,1.0025454545
2006-02-27,129.4,130.04,129.28,129.46,35858600,110.32,2006-02-27,1.0003627131
2006-02-28,129.2,129.91,128.13,128.23,74394800,109.27,2006-02-28,0.9904822335
2006-03-01,128.6,129.49,128.5,129.37,48641600,110.24,2006-03-01,1.0088770934
2006-03-02,128.9,129.42,128.61,129.36,60642300,110.23,2006-03-02,0.9999092888
2006-03-03,128.67,130.07,128.65,128.76,73402500,109.72,2006-03-03,0.9953733104
2006-03-06,129.14,129.18,127.85,128.17,57478400,109.22,2006-03-06,0.9954429457
2006-03-07,127.86,128.06,127.4,127.97,61780800,109.05,2006-03-07,0.9984435085
2006-03-08,127.7,128.44,127.18,128.24,66692400,109.28,2006-03-08,1.0021091243
2006-03-09,128.28,128.68,127.38,127.38,56313600,108.55,2006-03-09,0.9933199122
2006-03-10,127.71,128.84,127.44,128.59,60490800,109.58,2006-03-10,1.0094887149
2006-03-13,128.84,129.16,128.53,128.83,45479100,109.78,2006-03-13,1.0018251506
2006-03-14,128.71,130.23,128.61,130.18,69877300,110.93,2006-03-14,1.0104754964
2006-03-15,130.15,130.86,129.85,130.76,53398900,111.43,2006-03-15,1.004507347
2006-03-16,131.01,131.47,130.84,131.03,65526400,111.66,2006-03-16,1.0020640761
2006-03-17,130.68,130.9,130.38,130.62,47286800,111.75,2006-03-17,1.0008060183
2006-03-20,130.64,130.9,130.21,130.41,45538500,111.57,2006-03-20,0.9983892617
2006-03-21,130.37,130.99,129.45,129.59,87102700,110.87,2006-03-21,0.993725912
2006-03-22,129.51,130.51,129.45,130.38,51605700,111.55,2006-03-22,1.0061333093
2006-03-23,130.26,130.39,129.66,130.11,46704200,111.31,2006-03-23,0.9978484984
2006-03-24,129.99,130.57,129.74,130.21,43209200,111.4,2006-03-24,1.0008085527
2006-03-27,130.03,130.28,129.74,130.02,32523000,111.24,2006-03-27,0.9985637343
2006-03-28,129.93,130.53,129.05,129.22,82079900,110.55,2006-03-28,0.9937971953
2006-03-29,129.41,130.5,129.29,130.03,61505700,111.25,2006-03-29,1.0063319765
2006-03-30,130.11,130.98,129.55,129.8,70571700,111.05,2006-03-30,0.9982022472
2006-03-31,130.02,130.24,129.37,129.83,62925600,111.07,2006-03-31,1.0001800991
2006-04-03,130.07,130.87,129.49,129.73,61624700,110.99,2006-04-03,0.9992797335
2006-04-04,129.73,130.73,129.36,130.56,54809300,111.7,2006-04-04,1.0063969727
2006-04-05,130.61,131.28,130.38,131.01,50607200,112.08,2006-04-05,1.0034019696
2006-04-06,130.85,131.21,130.19,130.87,57906200,111.96,2006-04-06,0.9989293362
2006-04-07,131.06,131.4,129.35,129.54,80180900,110.83,2006-04-07,0.9899071097
2006-04-10,129.74,130.08,129.26,129.74,41496500,111,2006-04-10,1.0015338807
2006-04-11,129.85,130.06,128.25,128.64,72799400,110.06,2006-04-11,0.9915315315
2006-04-12,128.77,129.13,128.61,128.88,43033700,110.26,2006-04-12,1.0018171906
2006-04-13,128.59,129.25,128.31,128.71,51051800,110.12,2006-04-13,0.9987302739
2006-04-17,128.83,129.31,128.02,128.66,64167700,110.07,2006-04-17,0.9995459499
2006-04-18,128.93,130.94,128.93,130.7,92531800,111.82,2006-04-18,1.0158989734
2006-04-19,130.75,131.07,130.24,130.95,87269000,112.03,2006-04-19,1.0018780182
2006-04-20,131,131.86,130.6,131.13,86005500,112.19,2006-04-20,1.0014281889
2006-04-21,131.69,131.79,130.62,131.15,72342600,112.2,2006-04-21,1.0000891345
2006-04-24,130.89,131.07,130.38,130.91,52546400,112,2006-04-24,0.9982174688
2006-04-25,131.04,131.12,129.92,130.37,84359800,111.54,2006-04-25,0.9958928571
2006-04-26,130.5,131.14,130.3,130.4,67262400,111.56,2006-04-26,1.0001793079
2006-04-27,129.9,131.63,129.59,131.03,124478600,112.1,2006-04-27,1.0048404446
2006-04-28,130.79,131.75,130.71,131.47,55854400,112.48,2006-04-28,1.0033898305
2006-05-01,131.47,131.8,130.32,130.4,64990300,111.56,2006-05-01,0.9918207681
2006-05-02,131.01,131.46,130.74,131.38,49063500,112.4,2006-05-02,1.0075295805
2006-05-03,131.15,131.32,130.45,130.89,60821300,111.98,2006-05-03,0.9962633452
2006-05-04,131.08,131.62,130.97,131.36,42921400,112.38,2006-05-04,1.0035720664
2006-05-05,132.05,132.8,131.85,132.52,62588200,113.38,2006-05-05,1.0088983805
2006-05-08,132.51,132.77,132.36,132.36,30016700,113.24,2006-05-08,0.9987652143
2006-05-09,132.42,132.77,132.31,132.62,29864000,113.46,2006-05-09,1.0019427764
2006-05-10,132.41,132.75,131.89,132.55,64378200,113.4,2006-05-10,0.9994711793
2006-05-11,132.51,132.55,130.52,130.95,80626900,112.03,2006-05-11,0.9879188713
2006-05-12,130.36,130.72,129.19,129.24,91726500,110.57,2006-05-12,0.9869677765
2006-05-15,128.79,129.74,128.61,129.5,84029300,110.79,2006-05-15,1.0019896898
2006-05-16,129.76,130,129.01,129.31,62137600,110.63,2006-05-16,0.9985558263
2006-05-17,128.67,129.1,126.77,126.85,144789500,108.53,2006-05-17,0.9810178071
2006-05-18,127.35,127.75,126.11,126.21,87906300,107.98,2006-05-18,0.9949322768
2006-05-19,126.87,127.49,125.8,127.1,124309400,108.74,2006-05-19,1.0070383404
2006-05-22,126.28,127.17,125.5,126.13,110852800,107.91,2006-05-22,0.9923671142
2006-05-23,127.18,127.63,125.17,125.17,92006500,107.09,2006-05-23,0.992401075
2006-05-24,125.68,126.89,124.76,126.17,168405000,107.94,2006-05-24,1.007937249
2006-05-25,126.92,127.73,126.43,127.73,78977900,109.28,2006-05-25,1.0124143042
2006-05-26,128.01,128.38,127.51,128.38,62989700,109.83,2006-05-26,1.0050329429
2006-05-30,127.97,128,126.05,126.1,72419900,107.88,2006-05-30,0.9822452882
2006-05-31,126.62,127.51,126.2,127.51,86926200,109.09,2006-05-31,1.0112161661
2006-06-01,127.38,128.94,127.27,128.73,73721700,110.13,2006-06-01,1.0095334128
2006-06-02,129.25,129.43,128.32,129,91702600,110.36,2006-06-02,1.0020884409
2006-06-05,128.85,128.86,126.77,127.12,86105100,108.76,2006-06-05,0.9855019935
2006-06-06,127.21,127.38,125.76,126.81,130498600,108.49,2006-06-06,0.9975174697
2006-06-07,126.91,127.65,125.79,125.86,108599400,107.68,2006-06-07,0.9925338741
2006-06-08,125.58,126.5,123.87,125.75,204957200,107.58,2006-06-08,0.9990713224
2006-06-09,126.36,126.96,125.29,125.35,94972200,107.24,2006-06-09,0.9968395613
2006-06-12,125.88,125.93,123.82,123.99,95815900,106.08,2006-06-12,0.9891831406
2006-06-13,123.74,124.84,122.55,122.55,185688800,104.85,2006-06-13,0.9884049774
2006-06-14,122.84,123.63,122.34,123.5,163566400,105.66,2006-06-14,1.0077253219
2006-06-15,123.95,126.36,123.86,126.12,134057000,107.9,2006-06-15,1.0212000757
2006-06-16,125.29,125.56,124.46,124.65,94253500,107.11,2006-06-16,0.9926784059
2006-06-19,125.4,125.48,123.55,123.67,95804400,106.27,2006-06-19,0.992157595
2006-06-20,124.01,124.81,123.72,124.09,65494700,106.63,2006-06-20,1.0033875976
2006-06-21,124,125.7,123.96,125.01,75008200,107.42,2006-06-21,1.0074087968
2006-06-22,124.95,125.06,124.04,124.46,74566100,106.95,2006-06-22,0.9956246509
2006-06-23,124.33,125.3,124.03,124.44,54107000,106.93,2006-06-23,0.9998129967
2006-06-26,124.54,125.06,124.25,124.99,37899600,107.41,2006-06-26,1.004488918
2006-06-27,125.01,125.29,123.77,123.91,69780200,106.48,2006-06-27,0.9913415883
2006-06-28,124.19,124.77,123.65,124.75,62368100,107.2,2006-06-28,1.0067618332
2006-06-29,125.2,127.35,125.17,127.27,110634800,109.37,2006-06-29,1.0202425373
2006-06-30,127.54,127.66,126.96,127.28,54227800,109.37,2006-06-30,1
2006-07-03,127.43,128.01,127.31,127.8,23914000,109.82,2006-07-03,1.0041144738
2006-07-05,127.29,127.45,126.52,127.07,69653400,109.19,2006-07-05,0.99426334
2006-07-06,127.2,127.85,127.08,127.44,50100300,109.51,2006-07-06,1.0029306713
2006-07-07,127.19,127.56,126.29,126.61,81626500,108.8,2006-07-07,0.9935165738
2006-07-10,126.94,127.43,126.41,126.85,60964100,109,2006-07-10,1.0018382353
2006-07-11,126.61,127.41,125.94,127.41,73640800,109.49,2006-07-11,1.0044954128
2006-07-12,127.15,127.4,125.72,126.05,82561300,108.32,2006-07-12,0.9893140926
2006-07-13,125.45,125.68,124,124,102405700,106.56,2006-07-13,0.9837518464
2006-07-14,124.13,124.26,122.83,123.52,103242500,106.14,2006-07-14,0.9960585586
2006-07-17,123.52,124.1,123.15,123.34,81159000,105.99,2006-07-17,0.9985867722
2006-07-18,123.71,124.05,122.39,123.97,122771000,106.53,2006-07-18,1.0050948203
2006-07-19,124.18,126.26,123.72,125.69,133565300,108.01,2006-07-19,1.0138928002
2006-07-20,126.12,126.3,124.66,124.83,112259800,107.27,2006-07-20,0.9931487825
2006-07-21,125.15,125.19,123.82,123.95,101560000,106.51,2006-07-21,0.9929150741
2006-07-24,124.44,126.32,124.44,126.21,92884000,108.45,2006-07-24,1.0182142522
2006-07-25,125.98,127.3,125.72,126.66,95480700,108.84,2006-07-25,1.0035961272
2006-07-26,126.59,127.45,126.18,126.83,84525800,108.99,2006-07-26,1.0013781698
2006-07-27,127.38,127.69,126.2,126.71,87257100,108.88,2006-07-27,0.9989907331
2006-07-28,127.04,128.14,126.86,127.98,82137000,109.98,2006-07-28,1.0101028655
2006-07-31,127.66,127.96,127.45,127.85,49593100,109.86,2006-07-31,0.9989088925
2006-08-01,127.34,127.38,126.6,127.22,65225600,109.32,2006-08-01,0.9950846532
2006-08-02,127.58,128.46,127.55,128.08,64770900,110.06,2006-08-02,1.0067691182
2006-08-03,127.34,128.55,127.15,128.42,63693800,110.35,2006-08-03,1.0026349264
2006-08-04,129.08,129.43,127.48,128.2,96294200,110.16,2006-08-04,0.9982782057
2006-08-07,127.9,128.08,127.4,127.9,45377300,109.91,2006-08-07,0.9977305737
2006-08-08,128.09,128.46,126.95,127.41,90901300,109.49,2006-08-08,0.9961786917
2006-08-09,128.18,128.6,126.61,126.98,78910600,109.12,2006-08-09,0.996620696
2006-08-10,126.58,127.5,126.28,127.37,69322300,109.45,2006-08-10,1.0030241935
2006-08-11,127.17,127.2,126.39,127.01,47482200,109.14,2006-08-11,0.9971676565
2006-08-14,127.63,128.16,126.92,127.11,57839000,109.23,2006-08-14,1.0008246289
2006-08-15,128.25,128.87,127.9,128.63,68143000,110.53,2006-08-15,1.0119014923
2006-08-16,129.32,129.89,129.04,129.7,71737600,111.45,2006-08-16,1.0083235321
2006-08-17,129.58,130.37,129.49,130.03,70992800,111.74,2006-08-17,1.0026020637
2006-08-18,130.19,130.69,129.59,130.69,58288400,112.3,2006-08-18,1.0050116342
2006-08-21,130.18,130.28,129.8,130.13,42133600,111.82,2006-08-21,0.9957257346
2006-08-22,129.99,130.52,129.68,130.12,60839900,111.81,2006-08-22,0.9999105706
2006-08-23,130.18,130.44,129.19,129.76,66592100,111.51,2006-08-23,0.9973168768
2006-08-24,129.99,130.1,129.4,129.65,57983000,111.41,2006-08-24,0.9991032194
2006-08-25,129.64,130.25,129.55,129.81,41756000,111.55,2006-08-25,1.0012566197
2006-08-28,129.65,130.82,129.64,130.43,52681500,112.08,2006-08-28,1.0047512326
2006-08-29,130.49,130.83,129.81,130.58,61817800,112.21,2006-08-29,1.0011598858
2006-08-30,130.87,131.04,130.55,130.66,50052200,112.28,2006-08-30,1.0006238303
2006-08-31,130.85,130.99,130.58,130.64,37510300,112.26,2006-08-31,0.9998218739
2006-09-01,131.14,131.58,130.84,131.42,48794500,112.93,2006-09-01,1.0059682879
2006-09-05,131.51,131.85,131.2,131.67,52348300,113.15,2006-09-05,1.0019481094
2006-09-06,131.11,131.16,130.33,130.51,53795600,112.15,2006-09-06,0.9911621741
2006-09-07,130.06,130.57,129.35,129.91,86269400,111.63,2006-09-07,0.9953633527
2006-09-08,130.08,130.46,129.83,130.28,45096300,111.95,2006-09-08,1.0028666129
2006-09-11,129.86,130.69,129.48,130.41,68496600,112.06,2006-09-11,1.0009825815
2006-09-12,130.56,131.84,130.37,131.69,69875600,113.16,2006-09-12,1.0098161699
2006-09-13,131.64,132.45,131.52,132.22,62898400,113.62,2006-09-13,1.0040650407
2006-09-14,131.96,132.24,131.75,132.23,57805400,113.63,2006-09-14,1.0000880127
2006-09-15,132.31,132.39,131.68,131.96,76703100,113.89,2006-09-15,1.0022881281
2006-09-18,131.79,132.39,131.65,132.14,64154100,114.05,2006-09-18,1.0014048643
2006-09-19,132.12,132.13,131.07,131.81,92089100,113.77,2006-09-19,0.9975449364
2006-09-20,132.25,132.77,132.06,132.51,75204100,114.37,2006-09-20,1.005273798
2006-09-21,132.61,132.75,131.42,131.87,88932500,113.82,2006-09-21,0.9951910466
2006-09-22,131.67,131.68,131,131.47,65966800,113.47,2006-09-22,0.9969249692
2006-09-25,131.73,132.85,131.05,132.48,92299100,114.34,2006-09-25,1.0076672248
2006-09-26,132.5,133.6,132.4,133.58,73962700,115.29,2006-09-26,1.0083085534
2006-09-27,133.49,133.97,133.27,133.74,82432200,115.43,2006-09-27,1.0012143291
2006-09-28,133.74,133.99,133.28,133.69,58597500,115.39,2006-09-28,0.9996534696
2006-09-29,133.8,133.94,133.48,133.58,47966600,115.29,2006-09-29,0.9991333738
2006-10-02,133.54,133.83,132.95,133.08,51687400,114.86,2006-10-02,0.996270275
2006-10-03,132.89,133.87,132.65,133.36,73108100,115.1,2006-10-03,1.0020895003
2006-10-04,133.23,135,133.08,134.92,80890500,116.45,2006-10-04,1.0117289314
2006-10-05,134.92,135.41,134.75,135.18,60505900,116.67,2006-10-05,1.0018892228
2006-10-06,134.95,135.1,134.4,135.01,64983600,116.53,2006-10-06,0.9988000343
2006-10-09,134.85,135.3,134.64,135.09,41176800,116.6,2006-10-09,1.0006007037
2006-10-10,135.1,135.45,134.84,135.27,56403700,116.75,2006-10-10,1.0012864494
2006-10-11,134.84,135.43,134.3,135.11,104071800,116.61,2006-10-11,0.9988008565
2006-10-12,135.45,136.39,135.4,136.28,59158600,117.62,2006-10-12,1.0086613498
2006-10-13,136.16,136.71,136.04,136.63,53944000,117.93,2006-10-13,1.0026356062
2006-10-16,136.52,137.05,136.42,136.84,42273000,118.11,2006-10-16,1.0015263292
2006-10-17,136.47,136.7,135.67,136.41,90500600,117.74,2006-10-17,0.9968673271
2006-10-18,137.04,137.37,136.1,136.59,86848600,117.89,2006-10-18,1.0012739935
2006-10-19,136.39,136.88,136.23,136.81,64063200,118.08,2006-10-19,1.0016116719
2006-10-20,136.84,136.95,136.33,136.84,48094500,118.11,2006-10-20,1.000254065
2006-10-23,136.56,137.8,136.39,137.47,66219900,118.65,2006-10-23,1.0045720091
2006-10-24,137.28,137.93,137.22,137.88,53234900,119,2006-10-24,1.0029498525
2006-10-25,137.74,138.41,137.51,138.35,78105400,119.41,2006-10-25,1.0034453782
2006-10-26,138.66,139,137.98,138.78,66843700,119.78,2006-10-26,1.003098568
2006-10-27,138.61,138.75,137.63,137.91,80238000,119.03,2006-10-27,0.9937385206
2006-10-30,137.66,138.2,137.4,137.81,49717800,118.94,2006-10-30,0.9992438881
2006-10-31,138.07,138.26,137.25,137.79,71274100,118.93,2006-10-31,0.999915924
2006-11-01,138.22,138.31,136.72,136.86,83005600,118.12,2006-11-01,0.993189271
2006-11-02,136.51,137.01,136.36,136.78,60693100,118.05,2006-11-02,0.9994073823
2006-11-03,137.27,137.39,135.62,136.54,71346400,117.85,2006-11-03,0.9983058026
2006-11-06,136.96,138.28,136.95,138.08,63303300,119.18,2006-11-06,1.0112855325
2006-11-07,138.2,138.98,138,138.61,63318900,119.63,2006-11-07,1.0037758013
2006-11-08,138,139.05,136.86,138.91,87517800,119.89,2006-11-08,1.0021733679
2006-11-09,139.01,139.14,137.9,138.18,95916300,119.26,2006-11-09,0.9947451831
2006-11-10,138.14,138.34,137.72,138.24,48991500,119.31,2006-11-10,1.0004192521
2006-11-13,138.18,139.04,138.07,138.58,59398200,119.61,2006-11-13,1.0025144581
2006-11-14,138.97,139.74,138.12,139.62,96704000,120.51,2006-11-14,1.0075244545
2006-11-15,139.57,140.45,139.53,140.02,76509600,120.85,2006-11-15,1.0028213426
2006-11-16,140.44,140.68,139.49,140.38,76728800,121.16,2006-11-16,1.0025651634
2006-11-17,139.93,140.43,139.73,140.42,56353800,121.2,2006-11-17,1.000330142
2006-11-20,140.3,140.74,139.94,140.5,69174200,121.27,2006-11-20,1.0005775578
2006-11-21,140.49,140.67,140.29,140.64,51367900,121.39,2006-11-21,1.0009895275
2006-11-22,140.75,141.16,140.5,140.92,45505300,121.63,2006-11-22,1.0019770986
2006-11-24,140.24,140.84,140.2,140.35,30998000,121.14,2006-11-24,0.9959713886
2006-11-27,140.28,140.35,138.38,138.42,84545100,119.47,2006-11-27,0.9862142975
2006-11-28,138.24,139.16,138.11,139.02,106652900,119.99,2006-11-28,1.0043525571
2006-11-29,139.47,140.53,139.08,140.47,90034900,121.24,2006-11-29,1.0104175348
2006-11-30,140.44,141.05,139.76,140.53,83994300,121.29,2006-11-30,1.0004124051
2006-12-01,140.53,140.66,138.97,140.22,126080000,121.02,2006-12-01,0.9977739302
2006-12-04,140.25,141.55,140.23,141.29,87813200,121.95,2006-12-04,1.0076846802
2006-12-05,141.56,141.96,141.26,141.9,73374400,122.47,2006-12-05,1.0042640426
2006-12-06,141.87,142.07,141.5,141.78,53253200,122.37,2006-12-06,0.9991834735
2006-12-07,142.03,142.3,141.11,141.16,62857400,121.84,2006-12-07,0.9956688731
2006-12-08,141.13,141.9,140.78,141.42,79625500,122.06,2006-12-08,1.0018056467
2006-12-11,141.42,142.09,141.34,141.83,39779400,122.41,2006-12-11,1.0028674422
2006-12-12,141.69,141.87,140.89,141.72,77451600,122.32,2006-12-12,0.999264766
2006-12-13,142.23,142.34,141.56,141.87,55520200,122.45,2006-12-13,1.0010627861
2006-12-14,141.86,143.24,141.84,143.12,64755200,123.53,2006-12-14,1.0088199265
2006-12-15,142.64,142.89,142.24,142.34,70857400,123.54,2006-12-15,1.000080952
2006-12-18,142.54,142.88,141.75,141.95,48954600,123.2,2006-12-18,0.9972478549
2006-12-19,141.55,142.56,141.19,142.22,65023600,123.43,2006-12-19,1.0018668831
2006-12-20,142.28,142.66,142.01,142.14,41469600,123.36,2006-12-20,0.9994328769
2006-12-21,142.27,142.43,141.32,141.62,48698400,122.91,2006-12-21,0.9963521401
2006-12-22,141.64,141.65,140.67,140.75,62069100,122.16,2006-12-22,0.9938979741
2006-12-26,140.81,141.61,140.78,141.58,32696900,122.88,2006-12-26,1.0058939096
2006-12-27,141.87,142.6,141.83,142.51,39727100,123.69,2006-12-27,1.0065917969
2006-12-28,142.41,142.7,141.99,142.21,37288800,123.43,2006-12-28,0.9978979707
2006-12-29,142.06,142.54,141.43,141.62,45461200,122.91,2006-12-29,0.9957870858
2007-01-03,142.25,142.86,140.57,141.37,94807600,122.7,2007-01-03,0.9982914328
2007-01-04,141.23,142.05,140.61,141.67,69620600,122.96,2007-01-04,1.0021189894
2007-01-05,141.33,141.4,140.38,140.54,76645300,121.98,2007-01-05,0.9920299284
2007-01-08,140.82,141.41,140.25,141.19,71655000,122.54,2007-01-08,1.0045909165
2007-01-09,141.31,141.6,140.4,141.07,75680100,122.44,2007-01-09,0.9991839399
2007-01-10,140.58,141.57,140.3,141.54,72428000,122.84,2007-01-10,1.0032669062
2007-01-11,141.58,142.62,141.5,142.16,54476800,123.38,2007-01-11,1.0043959622
2007-01-12,142.15,143.24,142.11,143.24,55370600,124.32,2007-01-12,1.0076187389
2007-01-16,143.07,143.44,142.73,142.96,44871300,124.08,2007-01-16,0.9980694981
2007-01-17,142.85,143.46,142.73,143.02,50241400,124.13,2007-01-17,1.0004029658
2007-01-18,143.17,143.26,142.31,142.54,68177300,123.71,2007-01-18,0.9966164505
2007-01-19,142.54,143.1,142.46,142.82,56973000,123.95,2007-01-19,1.001940021
2007-01-22,143.07,143.1,141.93,142.38,60253600,123.57,2007-01-22,0.9969342477
2007-01-23,142.26,143.08,142.06,142.8,54064400,123.94,2007-01-23,1.0029942543
2007-01-24,142.97,143.98,142.91,143.95,55834700,124.94,2007-01-24,1.0080684202
2007-01-25,143.86,143.92,142.01,142.26,73583800,123.47,2007-01-25,0.9882343525
2007-01-26,142.57,142.65,141.58,142.13,67255600,123.36,2007-01-26,0.9991090953
2007-01-29,142.19,142.8,141.74,142.05,66114600,123.29,2007-01-29,0.9994325551
2007-01-30,142.35,142.86,142.06,142.79,70407600,123.93,2007-01-30,1.0051910131
2007-01-31,142.63,144.13,142.4,143.75,91868600,124.76,2007-01-31,1.0066973291
2007-02-01,144.15,144.66,143.91,144.61,69312400,125.51,2007-02-01,1.0060115422
2007-02-02,144.73,144.95,144.38,144.81,49607000,125.68,2007-02-02,1.0013544737
2007-02-05,144.7,144.94,144.34,144.85,45705300,125.72,2007-02-05,1.0003182686
2007-02-06,144.97,145.03,144.33,144.89,57081300,125.75,2007-02-06,1.0002386255
2007-02-07,145.12,145.36,144.57,145.21,55669700,126.03,2007-02-07,1.0022266402
2007-02-08,144.78,145.12,144.27,145.02,70641000,125.86,2007-02-08,0.9986511148
2007-02-09,145.06,145.33,143.39,143.94,79084400,124.93,2007-02-09,0.9926108374
2007-02-12,143.94,144.04,143.19,143.45,65657000,124.5,2007-02-12,0.9965580725
2007-02-13,143.77,144.9,143.76,144.66,64081800,125.55,2007-02-13,1.0084337349
2007-02-14,144.8,145.9,144.78,145.61,66039400,126.38,2007-02-14,1.006610912
2007-02-15,145.67,145.95,145.43,145.8,38715200,126.54,2007-02-15,1.0012660231
2007-02-16,145.44,145.76,145.23,145.73,39841800,126.48,2007-02-16,0.9995258416
2007-02-20,145.56,146.2,145,146.04,56911800,126.75,2007-02-20,1.0021347249
2007-02-21,145.61,146.07,145.35,145.98,63971600,126.7,2007-02-21,0.9996055227
2007-02-22,146.05,146.42,145.17,145.87,79067400,126.6,2007-02-22,0.999210734
2007-02-23,145.74,145.79,145.03,145.3,71966200,126.11,2007-02-23,0.9961295419
2007-02-26,145.83,145.95,144.75,145.17,69192800,125.99,2007-02-26,0.9990484498
2007-02-27,143.88,144.2,139,139.5,274466500,121.07,2007-02-27,0.9609492817
2007-02-28,140.39,141.98,139.8,140.93,177536300,122.31,2007-02-28,1.0102420088
2007-03-01,139.34,141.25,138.05,140.51,212828600,121.95,2007-03-01,0.9970566593
2007-03-02,140.05,140.66,138.66,138.67,162574000,120.35,2007-03-02,0.9868798688
2007-03-05,137.93,139.58,137.33,137.35,143750400,119.21,2007-03-05,0.9905276278
2007-03-06,138.78,140.12,137.72,139.7,143333300,121.25,2007-03-06,1.0171126583
2007-03-07,139.59,140.46,139.4,139.56,115144900,121.13,2007-03-07,0.9990103093
2007-03-08,140.54,141.16,140.07,140.74,117891600,122.15,2007-03-08,1.008420705
2007-03-09,141.31,141.42,140.08,140.78,107765100,122.18,2007-03-09,1.0002455997
2007-03-12,140.42,141.34,140.16,140.99,80366900,122.37,2007-03-12,1.0015550827
2007-03-13,140.18,140.77,138.04,138.25,190605200,119.99,2007-03-13,0.9805507886
2007-03-14,138.43,139.36,136.75,139.28,231853800,120.88,2007-03-14,1.0074172848
2007-03-15,138.97,139.99,138.8,139.47,132435900,121.05,2007-03-15,1.0014063534
2007-03-16,139.31,139.63,138.12,138.53,121531600,120.71,2007-03-16,0.9971912433
2007-03-19,139.26,140.33,139.15,140.2,96161200,122.16,2007-03-19,1.0120122608
2007-03-20,140.08,141.05,139.96,140.97,82147400,122.83,2007-03-20,1.0054846103
2007-03-21,141.1,143.65,140.82,143.29,152368700,124.86,2007-03-21,1.0165269071
2007-03-22,143.48,143.68,142.79,143.18,118942200,124.76,2007-03-22,0.999199103
2007-03-23,143.28,143.81,143.15,143.39,74416800,124.94,2007-03-23,1.0014427701
2007-03-26,143.5,143.65,142.09,143.2,113787500,124.78,2007-03-26,0.9987193853
2007-03-27,143.12,143.16,142.39,142.86,99864600,124.48,2007-03-27,0.9975957686
2007-03-28,142.14,142.47,141.26,141.82,152907900,123.58,2007-03-28,0.9927699229
2007-03-29,142.54,142.61,141.19,141.97,139432700,123.71,2007-03-29,1.0010519502
